TECHNOLOGIES	c_inv	c_maint	lifetime	f_min	f	f_max	fmin_perc	f_perc	fmax_perc	c_p_actual	c_p	gwp_constr
UNITS	[Meuro/GW]	[Meuro/GW]	[y]	[GW or GWh]	[GW or GWh]	[GW or GWh]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.849000	0.000000
CCGT	0.000000	0.000000	25.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.850000	0.000000
COAL_US	347348.209931	4099.540972	35.000000	0.000000	138.017017	6000.000000	0.000000	0.164559	0.164559	0.738844	0.868000	45766.442674
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.856000	0.000000
PV	143435.679768	1783.053881	25.000000	87.998000	164.868597	3771.194042	0.000000	0.038812	0.038812	0.145878	1.000000	343162.444757
PT_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
ST_POWER_BLOCK	3935.356000	393.535600	25.000000	0.000000	78.707120	154.657263	0.000000	0.053376	0.053376	0.420242	1.000000	0.000000
STIRLING_DISH	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
WIND_ONSHORE	1851583.309056	5145.265157	30.000000	131.715000	1780.368566	1780.368566	0.000000	0.686677	0.686677	0.239005	1.000000	1108902.561582
WIND_OFFSHORE	46428.258581	91.276740	30.000000	9.333000	9.333000	1421.686700	0.000000	0.005584	0.005584	0.370745	1.000000	5813.059050
HYDRO_DAM	284431.186950	1413.143076	40.000000	66.833700	67.286760	67.301760	0.000000	0.027589	0.027589	0.254081	1.000000	113908.410269
HYDRO_RIVER	184741.941104	1847.258243	40.000000	36.619400	36.619400	37.484560	0.000000	0.022197	0.022197	0.375627	1.000000	46243.710708
NEW_TIDAL_STREAM	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
TIDAL_STREAM	0.000000	0.000000	20.000000	0.000000	0.000000	35.255900	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
TIDAL_RANGE	0.000000	0.000000	40.000000	0.000000	0.000000	35.255900	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
GEOTHERMAL	7685.269430	123.634368	30.000000	0.869000	0.869000	16.000000	0.000000	0.001206	0.001206	0.860000	0.860000	21663.379210
IND_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.850000	0.000000
IND_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.850000	0.000000
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.850000	0.000000
IND_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.950000	0.000000
IND_BOILER_WOOD	4160.855709	83.217114	17.000000	0.000000	36.125023	6000.000000	0.000000	0.236741	0.236741	0.875636	0.900000	1042.929410
IND_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.950000	0.000000
IND_BOILER_COAL	8752.683302	175.053666	17.000000	0.000000	75.991793	6000.000000	0.000000	0.511859	0.511859	0.900000	0.900000	3661.284571
IND_BOILER_WASTE	4089.995928	81.799919	17.000000	0.000000	35.509810	6000.000000	0.000000	0.236147	0.236147	0.888575	0.900000	1025.168220
IND_DIRECT_ELEC	3126.805069	14.184318	15.000000	0.000000	9.408343	6000.000000	0.000000	0.015254	0.015254	0.216631	0.950000	13.830265
DHN_HP_ELEC	89626.440959	3118.436344	25.000000	0.000000	259.967070	6000.000000	0.000000	0.986415	0.986415	0.594114	0.950000	45439.644229
DHN_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.850000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.850000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	25.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.750000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	15.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.850000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.850000	0.000000
DHN_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.950000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.900000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.950000	0.000000
DHN_DEEP_GEO	3753.718725	142.741411	30.000000	0.586160	2.502479	21.658160	0.000000	0.013585	0.013585	0.850000	0.850000	2023.905037
DHN_SOLAR	0.000000	0.000000	30.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
DEC_HP_ELEC	339858.301762	14539.945994	18.000000	0.000000	690.712114	6000.000000	0.000000	1.000000	1.000000	0.366468	1.000000	113891.520530
DEC_THHP_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000	20.000000	0.000000	0.000000	6000.000000	0.000000	-0.000000	-0.000000	0.000000	1.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	6000.000000	0.000000	-0.000000	-0.000000	0.000000	1.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	20.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
DEC_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	6000.000000	0.000000	-0.000000	-0.000000	0.000000	1.000000	0.000000
DEC_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	6000.000000	0.000000	-0.000000	-0.000000	0.000000	1.000000	0.000000
DEC_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
DEC_SOLAR	0.000000	0.000000	20.000000	0.000000	0.000000	6000.000000	0.000000	-0.000000	-0.000000	0.000000	1.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	15.000000	0.000000	0.000000	6000.000000	0.000000	-0.000000	-0.000000	0.000000	1.000000	0.000000
BIG_SPLIT	67734.191569	2724.841422	15.000000	0.000000	291.957722	6000.000000	0.000000	1.000000	1.000000	0.110260	1.000000	0.000000
CHILLER_WC	4856.068083	194.242723	20.000000	0.000000	40.807295	6000.000000	0.000000	1.000000	1.000000	1.000000	1.000000	0.000000
TRAMWAY_TROLLEY	216595.281519	4331.905630	30.000000	0.000000	346.552450	6000.000000	0.000000	0.300000	0.090000	0.342466	0.342466	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	15.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.296804	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	15.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.296804	0.000000
BUS_COACH_CNG_STOICH	570182.449715	28509.122490	15.000000	0.000000	933.025827	6000.000000	0.000000	0.700000	0.700000	0.296804	0.296804	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	15.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.296804	0.000000
TRAIN_PUB	0.000000	0.000000	40.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.275073	0.000000
CAR_GASOLINE	0.000000	0.000000	10.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.051370	0.000000
CAR_DIESEL	0.000000	0.000000	10.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.051370	0.000000
CAR_NG	0.000000	0.000000	10.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.051370	0.000000
CAR_HEV	0.000000	0.000000	10.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.051370	0.000000
CAR_PHEV	0.000000	0.000000	10.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.051370	0.000000
CAR_BEV	0.000000	0.000000	10.000000	0.000000	0.000000	6000.000000	0.000000	0.000000	0.000000	0.000000	0.051370	0.000000
CAR_FUEL_CELL	3348267.014674	20699.422304	10.000000	0.000000	7701.165558	600000.000000	0.000000	1.000000	1.000000	0.051370	0.051370	6053116.128281
TRAIN_FREIGHT	25607.229247	512.144585	40.000000	0.000000	245.243365	6000.000000	0.000000	1.000000	1.000000	0.342466	0.342466	0.000000
BOAT_FREIGHT_DIESEL	58521.458618	2926.072931	40.000000	0.000000	766.099095	6000.000000	0.000000	0.896966	0.896966	0.114155	0.114155	0.000000
BOAT_FREIGHT_NG	6722.298424	336.114921	40.000000	0.000000	88.000998	6000.000000	0.000000	0.103034	0.103034	0.114155	0.114155	0.000000
TRUCK_DIESEL	33979.990143	1698.999508	15.000000	0.000000	91.562848	6000.000000	0.000000	0.057255	0.057255	0.092593	0.092593	0.000000
TRUCK_FUEL_CELL	606409.093644	18192.272815	15.000000	0.000000	1507.646918	6000.000000	0.000000	0.942745	0.942745	0.092593	0.092593	0.000000
