TECHNOLOGIES	c_inv	c_maint	lifetime	f_min	f	f_max	fmin_perc	f_perc	fmax_perc	c_p_actual	c_p	tau	gwp_constr
UNITS	[Meuro/GW]	[Meuro/(GW*y)]	[y]	[GW or GWh]	[GW or GWh]	[GW or GWh]	[0-1]	[0-1]	[0-1]	[0-1]	[0-1]	[-]	[ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000000	0.000000	25.000000	0.000000	0.000000	1000.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
COAL_US	253140.227178	2987.661094	35.000000	0.000000	100.583961	1000.000000	0.000000	0.543563	1.000000	0.740515	0.868000	0.036934	33353.641574
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	1000.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	46915.620000	583.209690	25.000000	53.926000	53.926000	543.928260	0.000000	0.047053	1.000000	0.119564	1.000000	0.048263	112243.194180
PT_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
ST_POWER_BLOCK	1687.795000	168.779500	25.000000	0.000000	33.755900	33.755900	0.000000	0.040029	1.000000	0.162496	1.000000	0.048263	0.000000
STIRLING_DISH	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.041639	0.000000
WIND_ONSHORE	224200.357056	623.018300	30.000000	58.138000	215.577266	215.577266	0.000000	0.337055	1.000000	0.214245	1.000000	0.041639	134272.300377
WIND_OFFSHORE	40105.498840	78.846360	30.000000	8.062000	8.062000	79.532600	0.000000	0.020768	1.000000	0.352998	1.000000	0.041639	5021.416700
HYDRO_DAM	6389.263635	31.943738	40.000000	1.521000	1.521000	1.532000	0.000000	0.000522	1.000000	0.047025	1.000000	0.033427	2574.870480
HYDRO_RIVER	21259.292610	212.574380	40.000000	4.214000	4.214000	4.224100	0.000000	0.011009	1.000000	0.357998	1.000000	0.033427	5321.523480
NEW_TIDAL_STREAM	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
TIDAL_STREAM	0.000000	0.000000	20.000000	0.000000	0.000000	1.400000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
TIDAL_RANGE	0.000000	0.000000	40.000000	0.000000	0.000000	1.400000	0.000000	0.000000	1.000000	0.000000	1.000000	0.033427	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	2.700000	0.000000	0.000000	1.000000	0.000000	0.860000	0.041639	0.000000
IND_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	1000.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	1000.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	1000.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	1000.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.067080	0.000000
