ELECTRICITY	ES-PT	FR	IE-UK	BE-DE-LU-NL	AT-CH-IT	DK-SE
ES-PT	0.000000	107.161637	0.000000	0.000000	0.000000	0.000000
FR	107.161637	0.000000	25.814954	13.353653	61.407192	0.000000
IE-UK	0.000000	25.814954	0.000000	22.955207	0.000000	0.000000
BE-DE-LU-NL	0.000000	13.353653	22.955207	0.000000	29.566781	91.851771
AT-CH-IT	0.000000	61.407192	0.000000	29.566781	0.000000	0.000000
DK-SE	0.000000	0.000000	0.000000	91.851771	0.000000	0.000000

NG	ES-PT	FR	IE-UK	BE-DE-LU-NL	AT-CH-IT	DK-SE
ES-PT	0.000000	16.220000	0.000000	0.000000	0.000000	0.000000
FR	16.220000	0.000000	0.001000	71.911000	13.461000	0.000000
IE-UK	0.000000	0.001000	0.000000	60.631000	0.000000	0.000000
BE-DE-LU-NL	0.000000	62.321000	60.631000	0.000000	59.990000	10.732000
AT-CH-IT	0.000000	15.021000	0.000000	60.250000	0.000000	0.000000
DK-SE	0.000000	0.000000	0.000000	10.732000	0.000000	0.000000

