ELECTRICITY	ES-PT	FR	IE-UK	BE-DE-LU-NL	AT-CH-IT	DK-SE
ES-PT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FR	107.161637	0.000000	25.814954	13.353653	26.369099	0.000000
IE-UK	0.000000	25.814954	0.000000	22.955207	0.000000	0.000000
BE-DE-LU-NL	0.000000	13.353653	22.955207	0.000000	29.566781	91.851771
AT-CH-IT	0.000000	61.407192	0.000000	29.566781	0.000000	0.000000
DK-SE	0.000000	0.000000	0.000000	4.951773	0.000000	0.000000

NG	ES-PT	FR	IE-UK	BE-DE-LU-NL	AT-CH-IT	DK-SE
ES-PT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FR	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IE-UK	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BE-DE-LU-NL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT-CH-IT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DK-SE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

