RESOURCES	ES-PT	FR	IE-UK	BE-DE-LU-NL	AT-CH-IT	DK-SE
ELECTRICITY	0.000000	116487.065510	0.000000	16137.121283	0.000000	0.000000
GASOLINE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
NG	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
SLF	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
SNG	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
WOOD	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000
PT_HEAT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
ST_HEAT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
