Period	HourofPeriod	TD	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_HIGH_TEMP	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_COLD_in	TS_COLD_out
1	1	1	13619.156829	2328.268733	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	551.184178	0.000000	980.338874	0.000000	535.309847	257.466267	-10.121474	8.312111	-7.001918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-113.202063	0.000000	0.000000	0.000000	-2.418255	0.000000	0.000000	0.000000	0.000000	39.732627	0.000000	0.000000
2	2	1	13627.655787	2335.270650	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	665.948253	0.000000	982.757130	0.000000	535.119812	255.344745	-9.044659	0.545701	-7.001918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-114.764075	0.000000	-0.000000	0.000000	-2.418255	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	3	1	13635.633242	2347.440940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	779.591326	0.000000	985.175385	0.000000	534.929844	253.240704	-7.977455	0.000000	-12.170289	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-113.643073	0.000000	0.000000	-0.000000	-2.418255	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	4	1	13630.151266	2358.091193	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	887.215663	0.000000	987.593640	0.000000	534.739944	254.496656	-7.884306	13.366281	-10.650253	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-107.624337	0.000000	0.000000	-0.000000	-2.418255	0.000000	0.000000	0.000000	0.000000	0.000000	-3.342656	0.000000
5	5	1	13624.243126	2365.093111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	955.941095	0.000000	990.011896	0.000000	534.550111	272.148823	-10.058859	15.967000	-7.001918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-68.725433	0.000000	0.000000	0.000000	-2.418255	0.000000	0.000000	0.000000	0.000000	0.000000	-19.749220	0.000000
6	6	1	13617.656196	2374.422702	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	964.405103	0.000000	992.430151	0.000000	452.142268	272.292114	-13.881001	20.467931	-9.329591	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-18.952163	10.488156	0.000000	0.000000	-2.418255	0.000000	0.000000	0.000000	0.000000	82.218078	-2.385797	0.000000
7	7	1	13602.033819	2369.807274	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	955.400627	0.000000	994.848406	0.000000	343.787178	270.048427	-21.610918	37.233295	0.000000	4.615428	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.644442	14.648917	0.000000	0.000000	-2.418255	0.000000	0.000000	0.000000	0.000000	108.194580	0.000000	0.000000
8	8	1	13578.411830	2359.727754	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	941.607668	0.000000	997.266662	0.000000	168.355375	267.823228	-26.281771	49.903760	0.000000	10.079520	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	13.792959	0.000000	0.000000	-2.418255	0.000000	0.000000	0.000000	0.000000	175.309758	0.000000	0.000000
9	9	1	13551.424286	2335.606750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	895.147090	0.000000	999.684917	0.000000	103.128830	265.616364	-27.415829	54.403372	0.000000	24.121004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	46.460579	-0.000000	0.000000	-2.418255	0.000000	0.000000	0.000000	-0.130438	65.297217	0.000000	0.000000
10	10	1	13512.572506	2311.485746	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	831.565050	0.000000	1002.103173	0.000000	190.694091	263.427685	-26.913980	65.765760	0.000000	24.121004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	63.582039	0.000000	-0.000000	-2.418255	0.000000	0.000000	0.000000	-105.446950	17.845078	0.000000	0.000000
