Period	HourofPeriod	TD	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_HIGH_TEMP	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_COLD_in	TS_COLD_out
1	1	1	5097.604089	473.326476	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	105.623342	0.000000	32.033849	0.000000	71.569984	0.000000	-0.981298	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-25.303197	0.000000	-0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	2	1	5098.446819	473.326476	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	131.122442	0.000000	32.306091	0.000000	71.544577	0.000000	-0.842730	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-25.499100	0.000000	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	3	1	5099.182716	475.983126	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	154.466611	0.000000	32.578333	0.000000	71.519179	0.000000	-0.735896	0.000000	-2.656650	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-23.344169	0.000000	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	4	1	5099.894924	478.639776	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	173.892725	0.000000	32.850576	0.000000	71.493789	0.000000	-0.712208	0.000000	-2.656650	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-19.426113	0.000000	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	5	1	5100.734245	478.639776	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	183.915504	0.000000	33.122818	0.000000	71.468409	0.000000	-0.839321	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-10.022779	0.000000	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	6	1	5101.769400	478.639776	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	178.620799	0.000000	33.395060	0.000000	71.443038	0.000000	-1.035156	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.294705	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7	7	1	5103.690190	478.639776	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	177.768334	0.000000	33.667303	0.000000	71.417676	0.000000	-1.920789	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.852465	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8	8	1	5106.137022	478.639776	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	168.906042	0.000000	33.939545	0.000000	4.277144	0.000000	-2.446832	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.862292	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	0.000000	67.115178	0.000000	0.000000
9	9	1	5104.213219	478.639776	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	137.570089	0.000000	34.211787	0.000000	4.406064	0.000000	-2.575810	4.499612	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	31.335953	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	-0.130438	0.000000	0.000000	0.000000
10	10	1	5090.538508	478.639776	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	117.784774	0.000000	34.484030	0.000000	61.509881	0.000000	-2.187288	15.862000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	19.785315	0.000000	0.000000	-0.272242	0.000000	0.000000	0.000000	-57.105381	0.000000	0.000000	0.000000
