Period	HourofPeriod	TD	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_HIGH_TEMP	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_COLD_in	TS_COLD_out
1	1	1	49.819531	11.990410	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	138.155743	-0.000000	210.363337	0.000000	120.667660	0.000000	-0.024737	0.000000	-7.001918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.655432	0.000000	0.000000	0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	2	1	49.837733	18.992328	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	176.051859	0.000000	210.840351	0.000000	120.624823	0.000000	-0.018201	0.000000	-7.001918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-37.896116	0.000000	-0.000000	-0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	3	1	49.867442	25.994246	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	211.300449	0.000000	211.317365	0.000000	120.582001	0.000000	-0.029709	0.000000	-7.001918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-35.248590	0.000000	0.000000	0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	4	1	49.899180	32.996164	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	241.735357	0.000000	211.794380	0.000000	120.539194	0.000000	-0.031738	0.000000	-7.001918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-30.434908	0.000000	0.000000	0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	5	1	49.945042	39.998082	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	260.617426	0.000000	212.271394	0.000000	120.496403	0.000000	-0.045862	0.000000	-7.001918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-18.882069	0.000000	0.000000	0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	6	1	49.996632	47.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	261.448185	0.000000	212.748409	0.000000	120.453626	0.000000	-0.051589	0.000000	-7.001918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.830759	0.000000	0.000000	0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7	7	1	50.026860	47.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	267.092627	0.000000	213.225423	0.000000	120.410865	0.000000	-0.030228	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.644442	0.000000	0.000000	0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8	8	1	50.051064	47.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	267.092627	0.000000	213.702437	0.000000	120.368120	0.000000	-0.024204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9	9	1	50.080319	47.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	267.092627	0.000000	214.179452	0.000000	98.722766	0.000000	-0.029255	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	21.602622	0.000000	0.000000
10	10	1	50.101184	47.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	261.738045	0.000000	214.656466	0.000000	80.842642	0.000000	-0.020866	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.354582	0.000000	0.000000	-0.477014	0.000000	0.000000	0.000000	0.000000	17.845078	0.000000	0.000000
