Period	HourofPeriod	TD	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_HIGH_TEMP	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_COLD_in	TS_COLD_out
1	1	1	5360.937761	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	19.811162	0.000000	25.160401	0.000000	0.000000	119.848760	-4.667663	8.312111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.018904	0.000000	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	2	1	5364.951516	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	24.871366	-0.000000	25.254812	0.000000	0.000000	118.861206	-4.559456	0.545701	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-5.060204	0.000000	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	3	1	5369.497200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	29.477270	0.000000	25.349224	0.000000	0.000000	117.881790	-4.545684	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.605904	0.000000	0.000000	-0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	4	1	5360.912691	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	33.257174	0.000000	25.443636	0.000000	0.000000	120.253100	-4.781772	13.366281	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.779904	0.000000	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	-3.342656	0.000000
5	5	1	5350.935448	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	35.054678	0.000000	25.538048	0.000000	0.000000	139.011434	-5.989757	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.797504	0.000000	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	-19.749220	0.000000
6	6	1	5343.018076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	33.580759	0.000000	25.632459	0.000000	0.000000	140.251776	-8.049628	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.473919	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	-2.385797	0.000000
7	7	1	5337.164510	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	33.043349	0.000000	25.726871	0.000000	0.000000	139.096102	-10.113433	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.537411	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8	8	1	5331.727049	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.974192	0.000000	25.821283	0.000000	0.000000	137.949950	-10.529539	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.069157	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9	9	1	5326.297458	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.202654	-0.000000	25.915695	0.000000	0.000000	136.813242	-10.537409	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.771538	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10	10	1	5320.861964	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	30.494609	-0.000000	26.010106	0.000000	0.000000	135.685901	-10.531507	15.967000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.708046	0.000000	0.000000	-0.094412	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
