Period	HourofPeriod	TD	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_HIGH_TEMP	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_COLD_in	TS_COLD_out
1	1	1	1788.160994	1631.551945	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	103.445655	0.000000	60.691245	0.000000	343.072203	137.617507	-1.261010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.215983	0.000000	0.000000	0.000000	0.000000	39.732627	0.000000	0.000000
2	2	1	1789.031419	1631.551945	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	103.445655	0.000000	60.907228	0.000000	342.950412	136.483538	-0.870425	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.215983	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	3	1	1789.728832	1631.551945	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	107.220034	0.000000	61.123211	0.000000	342.828665	135.358914	-0.697414	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3.774380	0.000000	0.000000	0.000000	-0.215983	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	4	1	1790.328256	1631.551945	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	118.508541	0.000000	61.339194	0.000000	342.706961	134.243556	-0.599424	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-11.288507	0.000000	0.000000	0.000000	-0.215983	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	5	1	1790.952455	1631.551945	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	121.064216	0.000000	61.555177	0.000000	342.585300	133.137390	-0.624199	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.555675	0.000000	0.000000	0.000000	-0.215983	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	6	1	1787.293008	1631.551945	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	117.344684	0.000000	61.771160	0.000000	260.245604	132.040337	-0.841484	4.500931	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.719532	0.000000	0.000000	-0.215983	0.000000	0.000000	0.000000	0.000000	82.218078	0.000000	0.000000
7	7	1	1769.036703	1626.936517	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	114.269002	0.000000	61.987143	0.000000	151.958637	130.952325	-1.444695	19.701000	0.000000	4.615428	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.075683	0.000000	0.000000	-0.215983	0.000000	0.000000	0.000000	0.000000	108.194580	0.000000	0.000000
8	8	1	1752.055045	1616.856997	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	112.879666	0.000000	62.203127	0.000000	43.710111	129.873278	-2.719342	19.701000	0.000000	10.079520	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.389336	0.000000	0.000000	-0.215983	0.000000	0.000000	0.000000	0.000000	108.194580	0.000000	0.000000
9	9	1	1736.907335	1592.735993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	106.829205	0.000000	62.419110	0.000000	0.000000	128.803122	-4.553290	19.701000	0.000000	24.121004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.050461	0.000000	0.000000	-0.215983	0.000000	0.000000	0.000000	0.000000	43.694594	0.000000	0.000000
10	10	1	1722.285916	1568.614989	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	98.316516	0.000000	62.635093	0.000000	48.341568	127.741784	-5.079581	19.701000	0.000000	24.121004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.512689	0.000000	-0.000000	-0.215983	0.000000	0.000000	0.000000	-48.341568	0.000000	0.000000	0.000000
11	11	1	1710.351359	1568.614989	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	90.153949	0.000000	62.851076	0.000000	169.855026	126.689192	-4.958193	16.892750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.162566	0.000000	0.000000	-0.215983	0.000000	0.000000	0.000000	-121.530619	0.000000	0.000000	0.000000
12	12	1	1713.016097	1568.614989	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	83.550542	0.000000	63.067059	0.000000	327.638168	125.645273	-4.000402	1.335664	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.603407	0.000000	0.000000	-0.215983	0.000000	0.000000	0.000000	-157.843440	0.000000	0.000000	0.000000
13	13	1	1716.243343	1574.823883	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	77.084448	0.000000	63.283042	0.000000	505.954980	124.609956	-3.227247	0.000000	-6.208893	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.466095	0.000000	0.000000	-0.215983	0.000000	0.000000	0.000000	-178.433123	0.000000	0.000000	0.000000
