Period	HourofPeriod	TD	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_HIGH_TEMP	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_COLD_in	TS_COLD_out
1	1	1	1322.634453	183.357179	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	102.040498	-0.000000	110.479871	0.000000	0.000000	0.000000	-3.186766	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-22.984448	0.000000	0.000000	0.000000	-0.393167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	2	1	1325.388300	183.357179	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	125.626028	-0.000000	110.873038	0.000000	0.000000	0.000000	-2.753847	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-23.585531	0.000000	0.000000	0.000000	-0.393167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	3	1	1327.357051	184.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	149.411920	-0.000000	111.266205	0.000000	0.000000	0.000000	-1.968751	0.000000	-0.642821	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-23.785892	0.000000	0.000000	0.000000	-0.393167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	4	1	1329.116215	184.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	170.993842	0.000000	111.659371	0.000000	0.000000	0.000000	-1.759164	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-21.581923	0.000000	0.000000	-0.000000	-0.393167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	5	1	1331.675935	184.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	188.568549	0.000000	112.052538	0.000000	0.000000	0.000000	-2.559720	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-17.574706	0.000000	0.000000	0.000000	-0.393167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	6	1	1335.579080	184.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	196.525935	0.000000	112.445705	0.000000	0.000000	0.000000	-3.903144	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-7.957387	0.000000	0.000000	0.000000	-0.393167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7	7	1	1342.115557	184.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	188.510431	0.000000	112.838872	0.000000	0.000000	0.000000	-8.101773	1.565295	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.015504	0.000000	0.000000	-0.393167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8	8	1	1338.441650	184.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	185.038256	0.000000	113.232039	0.000000	0.000000	0.000000	-10.561853	14.235760	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.472175	0.000000	0.000000	-0.393167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9	9	1	1333.925956	184.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	183.837745	0.000000	113.625205	0.000000	0.000000	0.000000	-9.720066	14.235760	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.200510	0.000000	0.000000	-0.393167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10	10	1	1328.784934	184.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	175.177460	0.000000	114.018372	0.000000	0.000000	0.000000	-9.094738	14.235760	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.660286	0.000000	0.000000	-0.393167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
