RESOURCES	R_t_local	R_t_exterior
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
NG	0.000000	1775982.666514
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	500816.203943	0.000000
WET_BIOMASS	703439.844660	0.000000
COAL	0.000000	2553639.596799
URANIUM	0.000000	0.000000
WASTE	337076.248460	0.000000
H2	0.000000	0.000000
CO2_EMISSIONS	0.000000	1250423.322389
RES_WIND	0.000000	3757845.294147
RES_SOLAR	0.000000	1342883.891231
RES_HYDRO	0.000000	270259.120971
RES_GEO	0.000000	25180.158150
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
