RESOURCES	R_t_local	R_t_exterior	R_t_import	R_t_export
ELECTRICITY	0.000000	0.000000	499202.738845	234647.469924
GASOLINE	0.000000	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	0.000000	0.000000
NG	0.000000	267961.133810	0.000000	0.000000
SLF	0.000000	0.000000	0.000000	0.000000
SNG	0.000000	0.000000	0.000000	0.000000
WOOD	187302.234073	0.000000	0.000000	0.000000
WET_BIOMASS	172984.620000	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000	0.000000
WASTE	57777.840000	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	94930.547335	0.000000	0.000000
RES_WIND	0.000000	712598.178868	0.000000	0.000000
RES_SOLAR	0.000000	7031.680026	0.000000	0.000000
RES_HYDRO	0.000000	51800.053130	0.000000	0.000000
RES_GEO	0.000000	4364.547360	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000	0.000000
PT_HEAT	0.000000	0.000000	0.000000	0.000000
ST_HEAT	0.000000	0.000000	0.000000	0.000000
