RESOURCES	R_t_local	R_t_exterior	R_t_import	R_t_export
ELECTRICITY	0.000000	0.000000	134626.272536	94212.071407
GASOLINE	0.000000	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	0.000000	0.000000	0.000000
BIODIESEL	0.000000	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	0.000000	0.000000
NG	0.000000	256831.679132	0.000000	0.000000
SLF	0.000000	0.000000	0.000000	0.000000
SNG	0.000000	0.000000	0.000000	0.000000
WOOD	79793.430000	0.000000	0.000000	0.000000
WET_BIOMASS	57394.050000	0.000000	0.000000	0.000000
COAL	0.000000	102495.974061	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000	0.000000
WASTE	96505.740000	0.000000	0.000000	0.000000
H2	0.000000	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	93763.120057	0.000000	0.000000
RES_WIND	0.000000	661072.740719	0.000000	0.000000
RES_SOLAR	0.000000	11298.756860	0.000000	0.000000
RES_HYDRO	0.000000	4842.849927	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	-0.000000	-0.000000
PT_HEAT	0.000000	0.000000	0.000000	0.000000
ST_HEAT	0.000000	0.000000	0.000000	0.000000
